Type,Session,Subject,Treatment,IDinSession,Invest,Return,Sequence
2,MinNo3,5,2,605,1,0,7
1,MinNo3,6,2,606,1,0,7
2,MinNo3,1,2,601,0,NA,8
1,MinNo3,2,2,602,0,NA,8
2,MinNo3,3,2,603,1,1,8
1,MinNo3,4,2,604,0,NA,8
1,MinNo3,5,2,605,1,1,8
2,MinNo3,6,2,606,0,NA,8
2,MinNo3,1,2,601,1,1,9
1,MinNo3,2,2,602,0,NA,9
1,MinNo3,3,2,603,1,1,9
2,MinNo3,4,2,604,0,NA,9
1,MinNo3,5,2,605,0,NA,9
2,MinNo3,6,2,606,0,NA,9
2,MinNo3,1,1,601,0,NA,10
1,MinNo3,2,1,602,0,NA,10
1,MinNo3,3,1,603,1,0,10
1,MinNo3,4,1,604,0,NA,10
2,MinNo3,5,1,605,1,0,10
2,MinNo3,6,1,606,0,NA,10
2,MinNo3,1,1,601,0,NA,11
1,MinNo3,2,1,602,1,1,11
1,MinNo3,3,1,603,0,NA,11
2,MinNo3,4,1,604,1,1,11
2,MinNo3,5,1,605,0,NA,11
1,MinNo3,6,1,606,0,NA,11
2,MinNo3,1,1,601,0,NA,12
2,MinNo3,2,1,602,1,1,12
1,MinNo3,3,1,603,1,0,12
1,MinNo3,4,1,604,0,NA,12
1,MinNo3,5,1,605,1,1,12
2,MinNo3,6,1,606,1,0,12
2,MinNo3,1,1,601,1,1,13
2,MinNo3,2,1,602,1,1,13
1,MinNo3,3,1,603,1,1,13
2,MinNo3,4,1,604,0,NA,13
1,MinNo3,5,1,605,0,NA,13
1,MinNo3,6,1,606,1,1,13
1,MinNo3,1,1,601,1,1,14
1,MinNo3,2,1,602,1,0,14
2,MinNo3,3,1,603,1,1,14
1,MinNo3,4,1,604,0,NA,14
2,MinNo3,5,1,605,1,0,14
2,MinNo3,6,1,606,0,NA,14
1,MinNo3,1,1,601,1,0,15
1,MinNo3,2,1,602,1,1,15
2,MinNo3,3,1,603,1,1,15
2,MinNo3,4,1,604,1,1,15
2,MinNo3,5,1,605,1,0,15
1,MinNo3,6,1,606,1,1,15
1,MinNo3,1,1,601,1,1,16
2,MinNo3,2,1,602,1,1,16
1,MinNo3,3,1,603,1,1,16
2,MinNo3,4,1,604,1,1,16
1,MinNo3,5,1,605,1,1,16
2,MinNo3,6,1,606,1,1,16
1,MinNo4,1,2,701,1,0,1
1,MinNo4,2,2,702,0,NA,1
1,MinNo4,3,2,703,0,NA,1
2,MinNo4,4,2,704,0,NA,1
2,MinNo4,5,2,705,0,NA,1
2,MinNo4,6,2,706,1,0,1
2,MinNo4,1,2,701,0,NA,2
2,MinNo4,2,2,702,0,NA,2
1,MinNo4,3,2,703,0,NA,2
1,MinNo4,4,2,704,1,0,2
1,MinNo4,5,2,705,0,NA,2
2,MinNo4,6,2,706,1,0,2
2,MinNo4,1,2,701,0,NA,3
2,MinNo4,2,2,702,0,NA,3
1,MinNo4,3,2,703,1,1,3
2,MinNo4,4,2,704,1,1,3
1,MinNo4,5,2,705,0,NA,3
1,MinNo4,6,2,706,0,NA,3
1,MinNo4,1,2,701,1,1,4
2,MinNo4,2,2,702,1,1,4
1,MinNo4,3,2,703,1,0,4
1,MinNo4,4,2,704,0,NA,4
2,MinNo4,5,2,705,0,NA,4
2,MinNo4,6,2,706,1,0,4
2,MinNo4,1,2,701,1,1,5
1,MinNo4,2,2,702,0,NA,5
2,MinNo4,3,2,703,0,NA,5
1,MinNo4,4,2,704,1,1,5
2,MinNo4,5,2,705,0,NA,5
1,MinNo4,6,2,706,0,NA,5
1,MinNo4,1,2,701,1,1,6
2,MinNo4,2,2,702,1,1,6
2,MinNo4,3,2,703,0,NA,6
2,MinNo4,4,2,704,1,1,6
1,MinNo4,5,2,705,1,1,6
