gamma,info,pi,A,Aactive,B,session,eSubj,bad,trust,honor,triad_id
2,1,0.05,2,1,0,3,317,1,1,1,3117
2,1,0.05,0,1,1,3,318,1,1,1,3117
2,1,0.05,1,2,0,3,314,1,1,1,3121
2,1,0.05,2,2,0,3,305,1,1,1,3121
2,1,0.05,0,2,1,3,308,1,1,1,3121
2,1,0.05,1,2,0,3,319,1,1,1,3122
2,1,0.05,2,2,0,3,310,1,1,1,3122
2,1,0.05,0,2,1,3,307,1,1,1,3122
2,1,0.05,1,2,0,3,302,1,1,0,3123
2,1,0.05,2,2,0,3,309,1,1,0,3123
2,1,0.05,0,2,1,3,301,1,1,0,3123
2,1,0.05,1,1,0,3,303,1,1,1,3124
2,1,0.05,2,1,0,3,311,1,1,1,3124
2,1,0.05,0,1,1,3,315,1,1,1,3124
2,1,0.05,1,1,0,3,318,1,0,NA,3125
2,1,0.05,2,1,0,3,321,1,0,NA,3125
2,1,0.05,0,1,1,3,313,1,0,NA,3125
2,1,0.05,1,1,0,3,320,1,1,1,3126
2,1,0.05,2,1,0,3,316,1,1,1,3126
2,1,0.05,0,1,1,3,312,1,1,1,3126
2,1,0.05,1,2,0,3,306,1,1,1,3127
2,1,0.05,2,2,0,3,304,1,1,1,3127
2,1,0.05,0,2,1,3,317,1,1,1,3127
2,1,0.2,1,1,0,4,409,1,0,NA,4011
2,1,0.2,2,1,0,4,412,1,0,NA,4011
2,1,0.2,0,1,1,4,407,1,0,NA,4011
2,1,0.2,1,1,0,4,418,1,0,NA,4012
2,1,0.2,2,1,0,4,401,1,0,NA,4012
2,1,0.2,0,1,1,4,404,1,0,NA,4012
2,1,0.2,1,2,0,4,402,1,1,1,4013
2,1,0.2,2,2,0,4,417,1,1,1,4013
2,1,0.2,0,2,1,4,411,1,1,1,4013
2,1,0.2,1,1,0,4,403,1,0,NA,4014
2,1,0.2,2,1,0,4,414,1,0,NA,4014
2,1,0.2,0,1,1,4,416,1,0,NA,4014
2,1,0.2,1,1,0,4,406,0,0,NA,4015
2,1,0.2,2,1,0,4,408,0,0,NA,4015
2,1,0.2,0,1,1,4,405,0,0,NA,4015
2,1,0.2,1,2,0,4,415,0,0,NA,4016
2,1,0.2,2,2,0,4,410,0,0,NA,4016
